iter	Passed	Remaining
0	1	102
1	1	85
2	2	77
3	2	70
4	3	67
5	4	64
6	4	63
7	5	62
8	6	60
9	6	62
10	7	61
11	8	60
12	8	59
13	9	58
14	10	57
15	10	55
16	11	54
17	11	53
18	12	52
19	13	53
20	14	53
21	14	52
22	15	51
23	15	50
24	16	49
25	17	48
26	17	47
27	18	47
28	18	46
29	19	46
30	20	45
31	21	44
32	21	44
33	22	43
34	22	42
35	23	41
36	23	40
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	32
48	31	32
49	31	31
50	32	31
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	13
78	50	13
79	51	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	62	0
99	63	0
